id,create_time,name,message,type,link,comments,reactions,shares
1556276644616898_1685150038396224,2016-10-29 15:31:01,Timeline Photos,"👻薑餅人來襲👻

不給果凍就搗蛋～ 
各位跑友～萬聖節快樂！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1685150038396224/?type=3,209,591,4.0
1556276644616898_1685166018394626,2016-10-28 12:44:34,Timeline Photos,"[臨時維護公告 - 已結束]

由於大量玩家湧入，遊戲進行40分鐘的維護作業
遊戲中造成不便，敬請見諒。
我們將發送300顆水晶補償獎勵表示歉意。

* 補償發送對象：
於10月28日 晚間9時30分前為止加入《跑跑薑餅人 : 烤箱大逃亡》的玩家們
* 獎勵下發時間：
2016年10月28日 晚間9時50分 ~ 10月29日晚間10時59分止 
(台灣時間為準)

營運團隊將持續努力提供良好的遊戲環境:)

跑跑薑餅人營運團隊敬上",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1685166018394626/?type=3,192,442,1.0
1556276644616898_1685145135063381,2016-10-28 12:30:00,強勢回歸，全球開跑！,"【Cookie Dance】可愛療癒的餅乾來囉✨
看起來似乎可以出道了呢😝

一起跑跑、跳跳吧！
👉馬上前往下載 >> https://goo.gl/xuxcFc",video,https://www.facebook.com/cookierunzh/videos/1685145135063381/,131,725,39.0
1556276644616898_1684730448438183,2016-10-27 09:43:32,Timeline Photos,"🎉《跑跑薑餅人：烤箱大逃亡》就在今天🎉
全球！正、式 、上 、線 ！

👉馬上前往下載 >> https://goo.gl/xuxcFc

感謝各位玩家耐心等候
祝大家跑得愉快😉",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1684730448438183/?type=3,465,1749,54.0
1556276644616898_1684204181824143,2016-10-26 07:17:40,Timeline Photos,"全新遊戲《跑跑薑餅人：烤箱大逃亡》倒數最後1天！！

☝就在明天～讓我們一起瘋狂奔跑吧💦

預約進入倒數 >>
https://pre.cookierun.com/tw",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1684204181824143/?type=3,80,555,13.0
1556276644616898_1683844281860133,2016-10-25 10:59:16,Timeline Photos,"全新✨跑跑薑餅人上架 倒數第2天！

快來約哥哥姊姊弟弟妹妹好友鄰居
一起來～倒～數～吧😉

預約要快 >>
https://pre.cookierun.com/tw",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1683844281860133/?type=3,52,466,10.0
1556276644616898_1683449331899628,2016-10-24 14:00:10,Timeline Photos,"全新✨跑跑薑餅人上架！倒數3天！

預約要快囉 >>
https://pre.cookierun.com/tw",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1683449331899628/?type=3,62,834,18.0
1556276644616898_1683390341905527,2016-10-24 11:21:32,Timeline Photos,"【遊戲維護公告】
10月 24日 11:00 - 17:00 (GMT) 進行遊戲定期維護 (預計6小時)

為提供更優質、有趣的跑跑薑餅人～請耐心等候哦😊",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1683390341905527/?type=3,28,233,1.0
1556276644616898_1681081008803127,2016-10-19 10:57:23,Timeline Photos,"嗨！帥氣十足的餅乾登場啦 B| 
這裡有黑巧克力的愛好者嗎？！

更多黑巧克力餅乾的故事～
我們遊戲裡見囉👋

還沒預約遊戲嗎？>>
https://pre.cookierun.com/tw",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1681081008803127/?type=3,69,455,7.0
1556276644616898_1678309719080256,2016-10-13 07:39:36,Timeline Photos,"👋 嘿！這是甜甜圈！還是餅乾捏？
還是甜甜圈餅乾、餅乾甜甜圈？
你說呢？😄
後面那個小跟班又是？

想一探究竟嗎？
別忘了先預約遊戲 >>
https://pre.cookierun.com/tw",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1678309719080256/?type=3,81,343,2.0
1556276644616898_1677144445863450,2016-10-10 13:01:58,全新！跑跑薑餅人回來囉！,"🔈針對許多跑跑薑餅人玩家所持有的疑惑
在此向所有跑友說明😃

👉全球地區開放遊戲後，遊戲進度會不見嗎？

1. 目前所使用的裝置和全球開放後的裝置相同的情況下：
刪除遊戲後下載新的版本，遊戲進度將有可能保存哦！

2. 目前所使用的裝置和全球開放後的裝置不同的情況下：
必須連動Google Play/Game center帳號，遊戲進度才會存在哦！

在此提醒您✨ 務必將遊戲與Google Play/Game center連動，
才能確實保存遊戲進度、安心遊戲^^ 

👉《跑跑薑餅人：烤箱大逃亡》和LINE跑跑薑餅人不同嗎？

是的！這是款全新、最新面貌、不一樣的薑餅人手機遊戲！
至於，更多不同之處！等玩家們來體驗、體會囉❤

>> 預約遊戲＆參加抽獎活動：https://pre.cookierun.com/tw",link,https://pre.cookierun.com/tw,59,155,5.0
1556276644616898_1675055159405712,2016-10-05 08:05:27,全新！跑跑薑餅人回來囉！,"全新遊戲《跑跑薑餅人：烤箱大逃亡》事前預約開跑囉！✋

👉參加事前預約，分享至你的facebook，馬上擁有iPhone7的抽獎機會！
👉還有100隻薑餅人大娃娃～等著你😉

準備好了嗎？！ 前往預約 >>
https://pre.cookierun.com/tw

#跑跑薑餅人 #烤箱大逃亡 #事前預約 #抽iPhone7",link,https://pre.cookierun.com/tw,460,945,256.0
1556276644616898_1672919299619298,2016-09-30 14:07:09,,"嗨～各位玩家們
遊戲已更新完成！

最新遊戲iOS（1.12版本）更新內容如下：
1. 改善優化ID加好友功能，玩家們可以更方便地找到自己的ID
2. 改善優化遊戲性能
3. 改善低階模式的連線可靠性
4. 修正多項bug

祝遊戲愉快哦😃",status,,147,142,
1556276644616898_1672503946327500,2016-09-30 04:00:01,Timeline Photos,"萬眾等待的【跑跑薑餅人：烤箱大逃亡】預熱準備中！
準備三步驟：期待、期待、再期待✌",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1672503946327500/?type=3,36,115,1.0
1556276644616898_1671387559772472,2016-09-26 16:17:59,Timeline Photos,"你也在尋找《跑跑薑餅人：烤箱大逃亡》嗎？
我們已經在下列國家中開放囉！",photo,https://www.facebook.com/cookierunzh/photos/a.1671410236436871.1073741828.1556276644616898/1671387559772472/?type=3,38,112,4.0
1556276644616898_1671250366452858,2016-09-26 16:13:00,,"全新的～「跑跑薑餅人：烤箱大逃亡」重磅回歸！

現在起，幫助勇敢餅乾和其他餅乾好朋友們
一起逃出魔女的邪惡烤箱吧！Go！",video,https://www.facebook.com/cookierunzh/videos/1671250366452858/,29,124,9.0
1556276644616898_1671393173105244,2016-09-26 15:19:23,跑跑薑餅人：烤箱大逃亡,,photo,https://www.facebook.com/cookierunzh/photos/a.1556711807906715.1073741825.1556276644616898/1671393173105244/?type=3,43,229,5.0
